store_name,store_type,warranty_revenue,order_count,extend_revenue,warranty_rank,order_rank,extend_rank
CarStereoIsland,Auto Parts & Electronics,9982.48,1957,7486.8600,1,1,1
RefurbPCLand,Consumer Electronics,26496.80,1151,19872.6000,1,4,1
Photos4Grandma,Consumer Electronics,20708.09,11351,14495.6630,2,2,2
DroneWarehouse,Consumer Electronics,4354.50,21831,2830.4250,3,1,4
SiiickHeadphones,Consumer Electronics,4122.58,2264,3091.9350,4,3,3
HVAC4U,Home and Garden,20533.50,3945,13346.7750,1,2,1
PowerWashersDirect,Home and Garden,3584.52,4826,2688.3900,2,1,2
HomeSecurityMart,Home Security,19968.48,7041,14976.3600,1,1,1
SecurityCamDirect,Home Security,14154.59,3051,10615.9425,2,2,2
SkateboardsUSA,Sports & Fitness Equipment,40911.71,4646,28638.1970,1,3,1
FitnessWareables,Sports & Fitness Equipment,32618.11,7647,22832.6770,2,1,2
PowerMassagerPros,Sports & Fitness Equipment,16854.93,5167,12641.1975,3,2,3
DietTrackers,Sports & Fitness Equipment,5036.60,3188,3525.6200,4,4,4
ElectricSkatePark,Sports & Fitness Equipment,3980.76,309,3184.6080,5,5,5
LuxuryWatchDepot,Watches & Jewelry,22418.00,3569,14571.7000,1,1,1
